Query,Intent
median of frequency,median
sqrt of frequency,sqrt
exp of phase current,exp
std of SourceCurrent,std
std of RCDClampDissipation,std
max of loss power,max
peak of efficiency,peak
clip of charging current,clip
div of duty cycle,div
abs of PrimaryWindingCurrent,abs
mean of RCDClampCurrent,mean
diff of input voltage,diff
squared mean of source voltage,squared
peak-to-peak of battery current,peak-to-peak
variance of output voltage,variance
peak of gate voltage,peak
variance of loss power,variance
abs of phase current,abs
sqrt of switching frequency,sqrt
abs of power,abs
div of temperature,div
sqr of inrush current,sqr
mod of switch current,mod
abs max of PrimaryWindingCurrent,abs
sum of duty cycle,sum
mean of SecondaryWindingCurrent,mean
sum of switch current,sum
abs min of output voltage,abs
normalize of SourcePower,normalize
squared mean of input voltage,squared
integral of charging current,integral
diff of RCDClampVoltage,diff
abs max of reference voltage,abs
max of drain voltage,max
average of loss power,average
std of power,std
sqr of MOSFETCurrent,sqr
div of input voltage,div
derivative of reference voltage,derivative
squared mean of PrimaryWindingvoltage,squared
squared mean of discharging current,squared
log of battery voltage,log
log of junction temperature,log
std of charging current,std
std of RCDClampVoltage,std
integral of reference voltage,integral
mean of PrimaryWindingvoltage,mean
log of RCDClampCurrent,log
sqr of LoadCurrent,sqr
abs max of SecondaryWindingCurrent,abs
median of gate voltage,median
normalize of inrush current,normalize
average of switching frequency,average
variance of load voltage,variance
clip of LoadCurrent,clip
abs of MOSFETjunctionTemp,abs
exp of switching frequency,exp
abs min of load current,abs
log of temperature,log
log of supply voltage,log
std of SecondaryWindingCurrent,std
squared mean of supply voltage,squared
average of SourcePower,average
peak of load voltage,peak
clip of power,clip
div of frequency,div
normalize of switching frequency,normalize
clip of input current,clip
sqrt of reference voltage,sqrt
div of Source_Voltage,div
log of load current,log
std of source voltage,std
exp of power,exp
integral of RCDClampVoltage,integral
log of SourceCurrent,log
integral of SourceCurrent,integral
diff of input power,diff
sqrt of temperature,sqrt
variance of source voltage,variance
rms of output current,rms
min of RCDClampVoltage,min
abs of discharging current,abs
clip of MOSFETvoltage,clip
peak of battery voltage,peak
integral of SourcePower,integral
variance of switch current,variance
median of input voltage,median
median of battery current,median
average of input power,average
normalize of PrimaryWindingCurrent,normalize
squared mean of MOSFETvoltage,squared
exp of duty cycle,exp
exp of input power,exp
squared mean of battery current,squared
div of source voltage,div
average of SourceCurrent,average
average of temperature,average
diff of switching frequency,diff
log of MOSFETvoltage,log
sum of loss power,sum
clip of SourcePower,clip
peak-to-peak of LoadPower,peak-to-peak
normalize of phase current,normalize
derivative of input power,derivative
div of MOSFETCurrent,div
squared mean of efficiency,squared
sqr of temperature,sqr
sum of RCDClampVoltage,sum
diff of battery voltage,diff
mean of RCDClampVoltage,mean
abs min of frequency,abs
diff of inrush current,diff
mean of supply voltage,mean
abs max of battery current,abs
abs max of phase current,abs
normalize of gate voltage,normalize
integral of input voltage,integral
sqr of ambient temperature,sqr
squared mean of charging current,squared
log of SecondaryWindingvoltage,log
sqr of load voltage,sqr
log of reference voltage,log
exp of PrimaryWindingCurrent,exp
median of switching frequency,median
mean of efficiency,mean
diff of MOSFETjunctionTemp,diff
exp of SecondaryWindingCurrent,exp
peak of discharging current,peak
variance of drain voltage,variance
peak of PrimaryWindingCurrent,peak
mean of switching frequency,mean
mod of junction temperature,mod
rms of LoadCurrent,rms
sum of input voltage,sum
sum of load voltage,sum
squared mean of phase current,squared
diff of input current,diff
peak of battery current,peak
sum of discharging current,sum
sqrt of battery voltage,sqrt
max of output current,max
sum of inrush current,sum
sum of efficiency,sum
average of phase current,average
median of SourceCurrent,median
clip of input voltage,clip
normalize of efficiency,normalize
div of SourcePower,div
abs max of battery voltage,abs
integral of duty cycle,integral
std of input current,std
average of ambient temperature,average
mean of frequency,mean
rms of power,rms
integral of MOSFETjunctionTemp,integral
peak of loss power,peak
derivative of junction temperature,derivative
diff of duty cycle,diff
derivative of supply voltage,derivative
std of Time,std
exp of SourcePower,exp
sum of SourcePower,sum
mod of inrush current,mod
std of frequency,std
abs min of reference voltage,abs
max of SecondaryWindingvoltage,max
integral of output voltage,integral
abs of input current,abs
integral of temperature,integral
mod of battery voltage,mod
min of output voltage,min
sum of output current,sum
mod of efficiency,mod
div of Time,div
mod of temperature,mod
average of input current,average
clip of RCDClampVoltage,clip
variance of discharging current,variance
derivative of drain voltage,derivative
normalize of LoadPower,normalize
sqr of switch current,sqr
mod of battery current,mod
div of junction temperature,div
std of output current,std
diff of gate voltage,diff
min of SourcePower,min
exp of charging current,exp
sqr of discharging current,sqr
clip of reference voltage,clip
mod of MOSFETjunctionTemp,mod
sqrt of LoadCurrent,sqrt
log of switch current,log
peak of load current,peak
abs min of inrush current,abs
rms of battery current,rms
div of power,div
max of switching frequency,max
average of frequency,average
peak-to-peak of discharging current,peak-to-peak
squared mean of SourcePower,squared
abs max of switch current,abs
max of RCDClampVoltage,max
normalize of RCDClampDissipation,normalize
clip of gate voltage,clip
mean of discharging current,mean
abs min of RCDClampCurrent,abs
min of duty cycle,min
min of PrimaryWindingCurrent,min
max of PrimaryWindingCurrent,max
peak-to-peak of load current,peak-to-peak
abs of SourceCurrent,abs
abs min of efficiency,abs
abs min of SourceCurrent,abs
derivative of RCDClampCurrent,derivative
variance of input current,variance
mean of input voltage,mean
exp of SecondaryWindingvoltage,exp
mod of reference voltage,mod
mod of LoadPower,mod
sqr of RCDClampDissipation,sqr
exp of loss power,exp
variance of inrush current,variance
min of LoadCurrent,min
min of SecondaryWindingCurrent,min
div of switching frequency,div
mean of SourceCurrent,mean
div of drain voltage,div
median of load current,median
derivative of charging current,derivative
sqr of switching frequency,sqr
squared mean of reference voltage,squared
exp of Source_Voltage,exp
median of MOSFETjunctionTemp,median
squared mean of RCDClampCurrent,squared
peak-to-peak of Time,peak-to-peak
integral of input current,integral
sqr of drain voltage,sqr
normalize of charging current,normalize
integral of battery current,integral
rms of SecondaryWindingCurrent,rms
min of input voltage,min
integral of Load1,integral
sqrt of input power,sqrt
sum of Source_Voltage,sum
peak-to-peak of inrush current,peak-to-peak
min of MOSFETvoltage,min
rms of discharging current,rms
average of battery current,average
abs min of source voltage,abs
average of RCDClampVoltage,average
peak of input current,peak
sum of RCDClampDissipation,sum
sqrt of output current,sqrt
max of charging current,max
derivative of output power,derivative
min of battery current,min
max of SourcePower,max
max of efficiency,max
average of power,average
sqr of duty cycle,sqr
diff of SecondaryWindingvoltage,diff
variance of MOSFETvoltage,variance
div of load voltage,div
std of duty cycle,std
abs of battery current,abs
